Name,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Offense_Total,Defense_Total,Off_Def_Ratio,Speed_Index,Bulk,Phys_Special,KMeans_label,Hierarchical_label,DBSCAN_label,Archetype
Bulbasaur,45,49,49,65,65,45,114,114,0.98,0.9782608695652174,5130,-16,1,2,0,Equilibrados / All-Around (2)
Ivysaur,60,62,63,80,80,60,142,143,0.96875,0.9836065573770492,8580,-18,0,3,0,Equilibrados / All-Around (1)
Venusaur,80,82,83,100,100,80,182,183,0.9761904761904762,0.9876543209876543,14640,-18,0,0,0,Equilibrados / All-Around (1)
Charmander,39,52,43,60,50,65,112,93,1.1818181818181819,1.625,3627,-8,1,2,0,Equilibrados / All-Around (2)
Charmeleon,58,64,58,80,65,80,144,123,1.0847457627118644,1.3559322033898304,7134,-16,1,3,0,Equilibrados / All-Around (2)
Charizard,78,84,78,109,85,100,193,163,1.0632911392405062,1.2658227848101267,12714,-25,0,0,0,Equilibrados / All-Around (1)
Squirtle,44,48,65,50,64,43,98,129,0.7272727272727273,0.9555555555555556,5676,-2,1,2,0,Equilibrados / All-Around (2)
Wartortle,59,63,80,65,80,58,128,160,0.7777777777777778,0.9666666666666667,9440,-2,1,3,0,Equilibrados / All-Around (2)
Blastoise,79,83,100,85,105,78,168,205,0.8217821782178217,0.975,16195,-2,4,3,0,Equilibrados / All-Around (3)
Caterpie,45,30,35,20,20,45,50,55,0.8333333333333334,0.9782608695652174,2475,10,1,2,0,Equilibrados / All-Around (2)
Metapod,50,20,55,25,25,30,45,80,0.35714285714285715,0.5882352941176471,4000,-5,1,2,0,Equilibrados / All-Around (2)
Butterfree,60,45,50,90,80,70,135,130,0.8823529411764706,1.1475409836065573,7800,-45,0,3,0,Equilibrados / All-Around (1)
Weedle,40,35,30,20,20,50,55,50,1.1290322580645162,1.2195121951219512,2000,15,1,2,0,Equilibrados / All-Around (2)
Kakuna,45,25,50,25,25,35,50,75,0.49019607843137253,0.7608695652173914,3375,0,1,2,0,Equilibrados / All-Around (2)
